Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
Qatar,6 to 7 years,Other,C; Java,NA
United States,3 to 4 years,Web developer,C#; JavaScript; SQL; VB.NET,NA
United States,20 or more years,Web developer,CoffeeScript; Haskell; JavaScript; Ruby,NA
United States,16 to 17 years,Web developer; Mobile developer; Desktop applications developer,Java,NA
Italy,7 to 8 years,Web developer; Mobile developer; Graphic designer,Java; JavaScript; Objective-C; PHP; Swift,26881.7204301075
Austria,19 to 20 years,NA,JavaScript; PHP; SQL; VBA,NA
United States,20 or more years,NA,C#; SQL,NA
United States,15 to 16 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; DevOps specialist; Quality assurance engineer,Java; Ruby; Swift,11e4
United States,9 to 10 years,Web developer; Desktop applications developer,C++; C#; Java; JavaScript; PHP,NA
Canada,1 to 2 years,NA,C; C++; Java; JavaScript; Python,NA
United Kingdom,12 to 13 years,Web developer,C#; JavaScript; SQL; TypeScript,32500
United Kingdom,1 to 2 years,Web developer,JavaScript,35e3
United States,2 to 3 years,NA,Assembly; C; C++; C#; CoffeeScript; JavaScript; Matlab; Objective-C; PHP; Python; Ruby; SQL; VB.NET; VBA,NA
United States,9 to 10 years,Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,C++; Groovy; Java; Python; Ruby; Scala; SQL,NA
Austria,2 to 3 years,NA,C#; JavaScript,NA
Germany,11 to 12 years,NA,C#; Java; JavaScript,NA
United States,4 to 5 years,Web developer,CoffeeScript; Go; Java; JavaScript; Ruby; TypeScript,87500
New Zealand,8 to 9 years,NA,C#; JavaScript; SQL,NA
Mexico,20 or more years,Web developer; Desktop applications developer; Database administrator,C#; JavaScript; SQL; VB.NET,22966.5071770335
United States,18 to 19 years,DevOps specialist; Other,Go; JavaScript; Perl; Python; Ruby; SQL,NA
United Kingdom,5 to 6 years,Web developer; Database administrator,Matlab; Perl; PHP; SQL,26250
United Kingdom,2 to 3 years,NA,Java; SQL,NA
Israel,20 or more years,Web developer; Machine learning specialist; Desktop applications developer,C#; Java; Ruby; SQL,NA
Netherlands,15 to 16 years,Web developer,JavaScript; Perl,67096.7741935484
Brazil,6 to 7 years,Desktop applications developer,Assembly; C; C++; C#; Java; PHP; SQL,5503.1847133758
United States,20 or more years,Web developer,JavaScript,83500
Germany,6 to 7 years,Web developer,JavaScript,53763.4408602151
China,20 or more years,Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer,C; C++; Java; Python; SQL,NA
United Kingdom,13 to 14 years,Web developer,CoffeeScript; JavaScript; Python; Ruby; SQL,NA
Greece,15 to 16 years,Web developer; Desktop applications developer; Database administrator; Systems administrator,Java; SQL,1182.79569892473
India,3 to 4 years,NA,C++; C#; Java; JavaScript,NA
United States,11 to 12 years,NA,Perl; Python,NA
France,14 to 15 years,Mobile developer,Java; Python,NA
United States,1 to 2 years,NA,Java; JavaScript,NA
United States,12 to 13 years,Mobile developer,Java,93e3
United States,12 to 13 years,Web developer,JavaScript; Python,43680
United Kingdom,Less than a year,Web developer,JavaScript; PHP,NA
United States,15 to 16 years,Web developer; Embedded applications/devices developer; Database administrator,Assembly; C; Groovy; Java; Matlab; SQL,64e3
United Kingdom,8 to 9 years,Data scientist,C; Java; Python; Scala; SQL; VBA,NA
Denmark,20 or more years,Web developer,C#,NA
United States,7 to 8 years,Web developer; Desktop applications developer,Java; JavaScript; SQL,NA
United States,9 to 10 years,Mobile developer; Graphic designer; Desktop applications developer,Objective-C; Swift,71e3
Canada,6 to 7 years,Web developer; Desktop applications developer; Database administrator,C#; SQL,30303.0303030303
United States,10 to 11 years,Web developer; DevOps specialist; Other,C#; SQL; VB.NET,5e4
Italy,9 to 10 years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,Java; Python; SQL; VBA,18870.9677419355
Canada,11 to 12 years,Web developer,Java; JavaScript; Ruby; SQL; TypeScript,56818.1818181818
Finland,3 to 4 years,Web developer,C#; Java; JavaScript; TypeScript,50602.1505376344
United States,2 to 3 years,NA,JavaScript; PHP; SQL,NA
Australia,14 to 15 years,Web developer,JavaScript; SQL; TypeScript,75757.5757575758
United States,15 to 16 years,Web developer; Graphics programming; Desktop applications developer,C#; JavaScript; SQL; VBA,89e3
Chile,8 to 9 years,Web developer; Desktop applications developer; Database administrator; Systems administrator,JavaScript; PHP; SQL,2e4
United States,5 to 6 years,Web developer; Mobile developer,Java; JavaScript,NA
Canada,8 to 9 years,Web developer,Java; JavaScript; SQL,NA
United States,17 to 18 years,Web developer,C#; JavaScript; SQL; TypeScript,105e3
Israel,1 to 2 years,NA,JavaScript; Python; Ruby,NA
United States,2 to 3 years,NA,C#; Python; SQL,NA
United States,3 to 4 years,Web developer,Erlang; JavaScript; Python,118e3
Slovenia,9 to 10 years,Web developer; Developer with a statistics or mathematics background,Java; JavaScript; PHP,26881.7204301075
Bulgaria,2 to 3 years,Web developer,C#; JavaScript; SQL; TypeScript,19354.8387096774
Germany,9 to 10 years,Web developer; Mobile developer; Desktop applications developer,Groovy; Java; JavaScript; Objective-C; PHP; Ruby; SQL,NA
United States,20 or more years,DevOps specialist,Assembly; C++; Common Lisp; Java; JavaScript; Objective-C; Perl; PHP; Ruby; Scala; Smalltalk,6e4
United States,14 to 15 years,Web developer,C#; Java; JavaScript; SQL; TypeScript,NA
United Kingdom,2 to 3 years,Web developer; Desktop applications developer,Java,NA
United States,15 to 16 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; DevOps specialist,Assembly; C++; Groovy; Java; Perl; SQL,NA
Canada,18 to 19 years,Desktop applications developer,C#; JavaScript; Ruby; SQL,NA
United States,20 or more years,Desktop applications developer; Quality assurance engineer,Assembly; C; C++; C#; JavaScript,NA
United Kingdom,14 to 15 years,Mobile developer,C++; Java,62500
United Kingdom,1 to 2 years,Desktop applications developer,VB.NET; Visual Basic 6,NA
Lebanon,2 to 3 years,Web developer; Graphics programming; Developer with a statistics or mathematics background; Data scientist,C; C#; Java; PHP; SQL,NA
United Kingdom,12 to 13 years,Mobile developer,C; C++; JavaScript; Objective-C; Python; Swift,7e4
United Kingdom,20 or more years,Web developer; Data scientist; Desktop applications developer; Database administrator; Systems administrator,C#; Java; JavaScript; Perl; PHP; SQL; VBA,NA
United States,4 to 5 years,Developer with a statistics or mathematics background; Data scientist,PHP; Python; SQL,NA
Brazil,9 to 10 years,Web developer; DevOps specialist,C#,38216.5605095541
United Kingdom,11 to 12 years,Web developer,JavaScript; Python; TypeScript,NA
Canada,13 to 14 years,NA,PHP; Python; SQL,NA
United States,4 to 5 years,Desktop applications developer,C#; Java; SQL; VB.NET,NA
Canada,10 to 11 years,Embedded applications/devices developer,Assembly; C; C++; C#; Python; VBA,NA
United Kingdom,20 or more years,Web developer; Mobile developer; Desktop applications developer,C#; JavaScript; SQL,40625
India,1 to 2 years,NA,C; Java; JavaScript; PHP; SQL,NA
United States,19 to 20 years,Web developer,Python; SQL,NA
United States,12 to 13 years,Web developer,C++; C#; JavaScript; VB.NET,NA
United States,8 to 9 years,Web developer; Mobile developer; Graphics programming,C#; Java; JavaScript; SQL,NA
United States,19 to 20 years,Web developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Database administrator; Systems administrator,C; C++; Java; Python,NA
Spain,9 to 10 years,Mobile developer; Graphics programming; Desktop applications developer,C#; Java; SQL; TypeScript,NA
United States,Less than a year,Web developer; Desktop applications developer,C#; JavaScript; PHP; Python; Ruby; SQL,NA
United States,16 to 17 years,Web developer,Perl; SQL,78e3
United States,15 to 16 years,Web developer; Mobile developer,JavaScript; Python,NA
United Kingdom,1 to 2 years,Web developer,C#; JavaScript; SQL,3e4
United States,11 to 12 years,NA,C#; Elixir; JavaScript,NA
India,10 to 11 years,Mobile developer,Objective-C; Swift,3876.08280722361
Brazil,7 to 8 years,Web developer; Desktop applications developer,C; C++; C#; Java; JavaScript,6305.73248407643
Romania,19 to 20 years,Web developer; Desktop applications developer,C#; SQL,NA
United States,7 to 8 years,Mobile developer; Other,C#; JavaScript,93e3
Norway,7 to 8 years,Web developer; Mobile developer; Desktop applications developer,Elixir; Erlang; Go; JavaScript; Objective-C; PHP; Python; Rust; SQL; Swift,NA
Belarus,3 to 4 years,Web developer,JavaScript; PHP,11361.7376775272
Canada,8 to 9 years,Web developer,Erlang; Python,NA
United States,6 to 7 years,Web developer,C; C++; Go; Java; JavaScript; PHP; Python; SQL,82500
United States,2 to 3 years,NA,Assembly; C++; Java; SQL,NA
Austria,3 to 4 years,NA,Python; Ruby,NA
United States,20 or more years,Other,C#; JavaScript,NA
Germany,20 or more years,Web developer; Desktop applications developer,C#; SQL,NA
United States,20 or more years,NA,C#; Java; JavaScript; SQL,NA
India,3 to 4 years,Mobile developer,C++; Java; Python; SQL,8075.17251504918
United States,20 or more years,Web developer,C#; JavaScript,75e3
United Kingdom,9 to 10 years,Web developer,C#; JavaScript; Python,NA
United States,18 to 19 years,Web developer,Java; JavaScript,139e3
Mexico,14 to 15 years,Web developer; Embedded applications/devices developer; Desktop applications developer; DevOps specialist,C; C++; Go; Groovy; Java; JavaScript; Lua; Python; TypeScript,34449.7607655502
United Kingdom,20 or more years,Web developer,C#; JavaScript; SQL,48750
United States,4 to 5 years,Embedded applications/devices developer,Assembly; C; C++; Perl,6e4
Israel,1 to 2 years,Web developer,Java; JavaScript,32345.0134770889
United States,17 to 18 years,Web developer; Desktop applications developer; Systems administrator; Other,C#; JavaScript; PHP,NA
United Kingdom,16 to 17 years,Web developer; Mobile developer; Systems administrator; DevOps specialist,C#; Java; JavaScript; Objective-C; PHP; Python; SQL,131250
Canada,3 to 4 years,NA,C#; Java; JavaScript; Python; R; SQL; VBA,NA
United States,15 to 16 years,Desktop applications developer,C++; C#; SQL,60500
Czech Republic,14 to 15 years,Web developer; Developer with a statistics or mathematics background; Data scientist,JavaScript; PHP; SQL,NA
Brazil,7 to 8 years,Web developer,JavaScript; Ruby,NA
Germany,7 to 8 years,Desktop applications developer,C++; C#,12903.2258064516
Germany,19 to 20 years,Web developer; Database administrator; Systems administrator,Go; JavaScript; Perl; PHP; SQL,NA
United Kingdom,19 to 20 years,Desktop applications developer; Database administrator,SQL,41250
Lithuania,10 to 11 years,Desktop applications developer,C++; C#; Erlang; Python; TypeScript,33118.2795698925
United States,20 or more years,Web developer; Desktop applications developer,C#; Python; VBA,NA
United States,5 to 6 years,Web developer,C#; JavaScript; SQL,57500
India,5 to 6 years,Web developer,Java; JavaScript; Python,16150.3450300984
United States,7 to 8 years,Embedded applications/devices developer,C; JavaScript; Python,NA
United Kingdom,5 to 6 years,Web developer,Java; JavaScript; PHP,NA
India,17 to 18 years,Desktop applications developer; Other,C#,24959.6241374248
Venezuela,5 to 6 years,Web developer,JavaScript; PHP; SQL,NA
United States,14 to 15 years,Mobile developer; Graphics programming; Desktop applications developer,C++; Objective-C; Swift,157e3
United States,5 to 6 years,Desktop applications developer,C#; Python,27e3
United States,17 to 18 years,Graphics programming,C; C++; C#,9e4
United Kingdom,20 or more years,Web developer; Developer with a statistics or mathematics background,Java; JavaScript; Python,76250
United Kingdom,3 to 4 years,Web developer,C#; JavaScript; SQL,32500
United States,4 to 5 years,NA,C; C++; JavaScript; Matlab; Python,NA
India,7 to 8 years,Web developer,NA,NA
Mexico,4 to 5 years,Web developer; Desktop applications developer,Java; JavaScript; Perl; SQL,NA
United States,4 to 5 years,NA,C++; Python,NA
United States,9 to 10 years,Web developer; Mobile developer; Machine learning specialist; Developer with a statistics or mathematics background; Desktop applications developer,C++; C#; Java; JavaScript; Objective-C; PHP; SQL,105e3
United States,9 to 10 years,Web developer; Mobile developer,Go; JavaScript; SQL; Swift,5e4
Canada,19 to 20 years,Web developer; Database administrator,Java,NA
United States,11 to 12 years,Web developer; Data scientist; Quality assurance engineer,Java; JavaScript; Lua,11e4
Japan,6 to 7 years,Web developer; Mobile developer,Java; JavaScript; Objective-C; PHP; SQL,15634.5001302875
Spain,19 to 20 years,Web developer; Database administrator,PHP,NA
France,20 or more years,Desktop applications developer,C++; Lua; Python; Rust; SQL,NA
Canada,8 to 9 years,Web developer,Java; JavaScript; PHP; SQL; TypeScript,NA
Romania,13 to 14 years,Web developer,C#; SQL,NA
Portugal,11 to 12 years,Mobile developer,Objective-C; Swift,NA
Germany,3 to 4 years,Web developer; Desktop applications developer,C++; C#; F#; Java; SQL,7741.93548387097
United States,20 or more years,Web developer,C#; JavaScript; SQL,NA
France,2 to 3 years,NA,C; C++; C#; Java; JavaScript; Python; SQL,NA
Jordan,5 to 6 years,Web developer; Graphic designer; Desktop applications developer; Database administrator,C++; C#; Java; JavaScript,NA
Germany,13 to 14 years,Web developer; Other,Java; JavaScript; R; SQL,38709.6774193548
India,5 to 6 years,Web developer,Python,7634.70855968287
France,2 to 3 years,Desktop applications developer,Java; JavaScript,12903.2258064516
Poland,4 to 5 years,Web developer; Systems administrator,JavaScript; PHP; TypeScript,NA
United States,19 to 20 years,Desktop applications developer,C#; SQL,NA
Germany,13 to 14 years,Web developer; Machine learning specialist; Data scientist; Desktop applications developer; Systems administrator,C#; JavaScript; PHP; Python; SQL; TypeScript,12903.2258064516
United Kingdom,9 to 10 years,Quality assurance engineer,JavaScript; PHP,43750
Sweden,11 to 12 years,Web developer,Groovy; Java; JavaScript,NA
United States,2 to 3 years,Web developer,JavaScript,9e4
Australia,20 or more years,Web developer; Mobile developer; Desktop applications developer; Database administrator; DevOps specialist,C#; TypeScript,102272.727272727
Malaysia,3 to 4 years,NA,Java,NA
Israel,18 to 19 years,Developer with a statistics or mathematics background,C#,NA
Sweden,20 or more years,Web developer; Desktop applications developer,C#; JavaScript,NA
Germany,20 or more years,Web developer; Data scientist; Database administrator,JavaScript; PHP,NA
Iraq,4 to 5 years,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator,C#; JavaScript; SQL,NA
Romania,2 to 3 years,NA,JavaScript; Python,NA
